gene_id	symbol	product	copies_lean	in_siscowet_unmapped	n_go
gene-LOC120049166	LOC120049166	ras and EF-hand domain-containing protein homolog	1	Y	3
gene-LOC120049170_1			1		0
gene-LOC120049179	LOC120049179	nucleobindin-2-like	1	Y	3
gene-LOC120049182	LOC120049182	50 kDa spicule matrix protein-like	1	Y	0
gene-LOC120049196	LOC120049196	40S ribosomal protein S13-like	1	Y	6
gene-LOC120049200	LOC120049200	protein S100-P-like	1	Y	5
gene-LOC120049206	LOC120049206	protein lava lamp-like	1	Y	1
gene-LOC120049292	LOC120049292	uncharacterized LOC120049292	1	Y	9
gene-LOC120049361	LOC120049361	cytoplasmic polyadenylation element-binding protein 1-like	1	Y	10
gene-LOC120049390	LOC120049390	RNA-binding protein with multiple splicing 2-like	1	Y	3
gene-LOC120049413	LOC120049413	lumican-like	1	Y	2
gene-LOC120049420_1			1		0
gene-LOC120049517_3			1		0
gene-LOC120049517_4			1		0
gene-LOC120049523_1			1		0
gene-LOC120049525_1			1		0
gene-LOC120049796	LOC120049796	probable N-acetyltransferase 16	1	Y	1
gene-LOC120049938_1			1		0
gene-LOC120050024	LOC120050024	terminal uridylyltransferase 7-like	1	Y	1
gene-LOC120050074	LOC120050074	leucine-rich repeat-containing protein 4-like	1	Y	8
gene-LOC120050089	LOC120050089	decorin-like	1	Y	2
gene-LOC120050124	LOC120050124	methyltransferase-like protein 25	1	Y	0
gene-LOC120050159	LOC120050159	60S ribosomal protein L18a	1	Y	4
gene-LOC120050170	LOC120050170	small nucleolar RNA SNORA68	1	Y	0
gene-LOC120050266_1			1		0
gene-LOC120050276_1			1		0
gene-LOC120050295_1			1		0
gene-LOC120050298	LOC120050298	extensin-like	1	Y	0
gene-LOC120050322	LOC120050322	diamine acetyltransferase 1-like	1	Y	1
gene-LOC120050349	LOC120050349	tripartite motif-containing protein 16-like	1	Y	2
gene-LOC120050350	LOC120050350	E3 ubiquitin/ISG15 ligase TRIM25-like	1	Y	2
gene-LOC120050486	LOC120050486	E3 ubiquitin-protein ligase Midline-1-like	1	Y	2
gene-LOC120050512	LOC120050512	E3 ubiquitin-protein ligase TRIM63-like	1	Y	1
gene-LOC120050520	LOC120050520	inhibin alpha chain-like	1	Y	5
gene-LOC120050524	LOC120050524	insulin-like growth factor-binding protein 5	1	Y	6
gene-LOC120050538	LOC120050538	pyridoxal phosphate phosphatase PHOSPHO2-like	1	Y	1
gene-LOC120050541	LOC120050541	UPF0524 protein C3orf70 homolog A-like	1	Y	0
gene-LOC120050560	LOC120050560	gamma-crystallin M2-like	1	Y	3
gene-LOC120050565	LOC120050565	gamma-crystallin M3-like	1	Y	3
gene-LOC120050566	LOC120050566	gamma-crystallin S-1-like	1	Y	3
gene-LOC120050571	LOC120050571	uncharacterized LOC120050571	1	Y	2
gene-LOC120050577	LOC120050577	origin recognition complex subunit 4-like	1	Y	6
gene-LOC120050578	LOC120050578	phospholipid scramblase 1-like	1	Y	3
gene-LOC120050580	LOC120050580	alpha-crystallin A chain-like	1	Y	5
gene-LOC120050776_1			1		0
gene-LOC120050776_2			1		0
gene-LOC120050786_1			1		0
gene-LOC120050795_3			1		0
gene-LOC120050812_4			1		0
gene-LOC120050812_5			1		0
gene-LOC120050816	LOC120050816	melanophilin-like	1	Y	5
gene-LOC120050834	LOC120050834	protein FAM171B-like	1	Y	0
gene-LOC120050835	LOC120050835	leucine-rich repeat-containing protein 3-like	1	Y	3
gene-LOC120050836	LOC120050836	obscurin-like protein 1	1	Y	1
gene-LOC120050837	LOC120050837	striated muscle preferentially expressed protein kinase-like	1	Y	4
gene-LOC120050856	LOC120050856	filamin A-interacting protein 1-like	1	Y	0
gene-LOC120050862	LOC120050862	gamma-crystallin M3-like	1	Y	3
gene-LOC120050864	LOC120050864	gamma-crystallin M3-like	1	Y	3
gene-LOC120050865	LOC120050865	gamma-crystallin S-1-like	1	Y	3
gene-LOC120050872	LOC120050872	heat shock factor 2-binding protein-like	1	Y	1
gene-LOC120050877	LOC120050877	serine/threonine-protein kinase SIK2-like	1	Y	7
gene-LOC120050880	LOC120050880	dystrophin-like	1	Y	3
gene-LOC120050881	LOC120050881	gastrula zinc finger protein XlCGF17.1-like	1	Y	3
gene-LOC120050889_1			1		0
gene-LOC120051197_1			1		0
gene-LOC120051198_1			1		0
gene-LOC120051245	LOC120051245	kynureninase-like	1	Y	6
gene-LOC120051248	LOC120051248	uncharacterized LOC120051248	1	Y	0
gene-LOC120051306	LOC120051306	rho GTPase-activating protein 6-like	1	Y	1
gene-LOC120051307	LOC120051307	male-specific lethal 3 homolog	1	Y	8
gene-LOC120051331	LOC120051331	autophagy-related protein 9A-like	1	Y	5
gene-LOC120051386	LOC120051386	leucine-rich repeat flightless-interacting protein 2-like	1	Y	3
gene-LOC120051418	LOC120051418	uncharacterized LOC120051418	1	Y	0
gene-LOC120051433	LOC120051433	poly(rC)-binding protein 3-like	1	Y	5
gene-LOC120051445	LOC120051445	reduced folate transporter-like	1	Y	6
gene-LOC120051446	LOC120051446	collagen alpha-1(XVIII) chain-like	1	Y	0
gene-LOC120051447	LOC120051447	carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1-like	1	Y	1
gene-LOC120051448	LOC120051448	serine/threonine-protein kinase 11-interacting protein-like	1	Y	3
gene-LOC120051450	LOC120051450	insulin-like growth factor-binding protein 2-A	1	Y	5
gene-LOC120051451	LOC120051451	tensin-like	1	Y	2
gene-LOC120051466	LOC120051466	caveolae-associated protein 2-like	1	Y	3
gene-LOC120051473	LOC120051473	synapse-associated protein 1-like	1	Y	2
gene-LOC120051494_1			1		0
gene-LOC120051499	LOC120051499	filamin A-interacting protein 1-like	1	Y	0
gene-LOC120051525	LOC120051525	methyl-CpG-binding domain protein 5-like	1	Y	4
gene-LOC120051527	LOC120051527	cystathionine beta-synthase-like	1	Y	5
gene-LOC120051529	LOC120051529	OX-2 membrane glycoprotein-like	1	Y	1
gene-LOC120051547	LOC120051547	uncharacterized LOC120051547	1	Y	0
gene-LOC120051592	LOC120051592	small nucleolar SNORD12/SNORD106	1	Y	0
gene-LOC120051648	LOC120051648	stromal interaction molecule 2-like	1	Y	8
gene-LOC120051656	LOC120051656	mucin-2-like	1	Y	3
gene-LOC120051715	LOC120051715	uncharacterized LOC120051715	1	Y	0
gene-LOC120051748_49			1		0
gene-LOC120051898_1			1		0
gene-LOC120051899_1			1		0
gene-LOC120051924_3			1		0
gene-LOC120051977	LOC120051977	E3 ubiquitin-protein ligase TRIM39-like	1	Y	2
gene-LOC120051978	LOC120051978	pleiotropic regulator 1	1	Y	5
gene-LOC120052015_1			1		0
gene-LOC120052015_2			1		0
gene-LOC120052111_1			1		0
gene-LOC120052142	LOC120052142	ceramide synthase-like	1	Y	5
gene-LOC120052150	LOC120052150	paired box protein Pax-6-like	1	Y	4
gene-LOC120052183_1			1		0
gene-LOC120052183_2			1		0
gene-LOC120052240	LOC120052240	teashirt homolog 3-like	1	Y	4
gene-LOC120052251	LOC120052251	zinc finger protein 536-like	1	Y	4
gene-LOC120052266	LOC120052266	tRNA (adenine(37)-N6)-methyltransferase-like	1	Y	1
gene-LOC120052268	LOC120052268	acidic leucine-rich nuclear phosphoprotein 32 family member B-like	1	Y	3
gene-LOC120052269	LOC120052269	acidic leucine-rich nuclear phosphoprotein 32 family member B-like	1	Y	3
gene-LOC120052271	LOC120052271	hemogen-like	1	Y	0
gene-LOC120052272	LOC120052272	acidic leucine-rich nuclear phosphoprotein 32 family member B-like	1	Y	3
gene-LOC120052274	LOC120052274	uncharacterized LOC120052274	1	Y	2
gene-LOC120052282	LOC120052282	DENN domain-containing protein 5B-like	1	Y	2
gene-LOC120052295	LOC120052295	SIN3-HDAC complex-associated factor-like	1	Y	2
gene-LOC120052297	LOC120052297	kxDL motif-containing protein 1-like	1	Y	2
gene-LOC120052315	LOC120052315	small integral membrane protein 18-like	1	Y	0
gene-LOC120052320	LOC120052320	zinc finger protein SNAI2-like	1	Y	3
gene-LOC120052327	LOC120052327	piezo-type mechanosensitive ion channel component 1-like	1	Y	0
gene-LOC120052353	LOC120052353	malonate--CoA ligase ACSF3, mitochondrial-like	1	Y	0
gene-LOC120052362	LOC120052362	cadherin-15-like	1	Y	11
gene-LOC120052371	LOC120052371	sulfotransferase 2B1-like	1	Y	3
gene-LOC120052400	LOC120052400	cartilage intermediate layer protein 1-like	1	Y	0
gene-LOC120052410	LOC120052410	immunoglobulin superfamily DCC subclass member 3-like	1	Y	5
gene-LOC120052417	LOC120052417	secretory carrier-associated membrane protein 5-like	1	Y	3
gene-LOC120052428	LOC120052428	lysyl oxidase homolog 1-like	1	Y	4
gene-LOC120052544	LOC120052544	E3 ubiquitin-protein ligase RNF170-like	1	Y	1
gene-LOC120052645_1			1		0
gene-LOC120052646_1			1		0
gene-LOC120052647_1			1		0
gene-LOC120052651	LOC120052651	cAMP-specific 3',5'-cyclic phosphodiesterase 4B-like	1	Y	6
gene-LOC120052695	LOC120052695	uncharacterized LOC120052695	1	Y	3
gene-LOC120052703	LOC120052703	intestinal mucin-like protein	1	Y	3
gene-LOC120052705	LOC120052705	myc-associated zinc finger protein-like	1	Y	0
gene-LOC120052706	LOC120052706	serine/threonine-protein kinase NLK2-like	1	Y	6
gene-LOC120052707	LOC120052707	major vault protein	1	Y	3
gene-LOC120052710	LOC120052710	zinc finger protein 8-like	1	Y	3
gene-LOC120052711	LOC120052711	zinc finger and SCAN domain-containing protein 22-like	1	Y	1
gene-LOC120052724_1			1		0
gene-LOC120052732	LOC120052732	myosin-binding protein C, cardiac-type-like	1	Y	1
gene-LOC120052801_1			1		0
gene-LOC120052802_1			1		0
gene-LOC120052802_2			1		0
gene-LOC120052802_3			1		0
gene-LOC120052802_4			1		0
gene-LOC120052804_1			1		0
gene-LOC120052829_1			1		0
gene-LOC120052835_1			1		0
gene-LOC120052876	LOC120052876	E3 ubiquitin-protein ligase TRIM21-like	1	Y	2
gene-LOC120052897	LOC120052897	membrane-spanning 4-domains subfamily A member 12-like	1	Y	1
gene-LOC120052899_1			1		0
gene-LOC120052961	LOC120052961	gliomedin-like	1	Y	3
gene-LOC120053007_1			1		0
gene-LOC120053043	LOC120053043	glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial-like	1	Y	3
gene-LOC120053044	LOC120053044	dCTP pyrophosphatase 1-like	1	Y	2
gene-LOC120053069	LOC120053069	fibronectin-like	1	Y	1
gene-LOC120053070	LOC120053070	fibronectin-like	1	Y	1
gene-LOC120053081_1			1		0
gene-LOC120053081_2			1		0
gene-LOC120053086_1			1		0
gene-LOC120053088_1			1		0
gene-LOC120053090_13			1		0
gene-LOC120053090_14			1		0
gene-LOC120053090_15			1		0
gene-LOC120053090_16			1		0
gene-LOC120053090_17			1		0
gene-LOC120053090_18			1		0
gene-LOC120053090_19			1		0
gene-LOC120053090_20			1		0
gene-LOC120053090_21			1		0
gene-LOC120053090_22			1		0
gene-LOC120053090_23			1		0
gene-LOC120053090_24			1		0
gene-LOC120053090_25			1		0
gene-LOC120053090_26			1		0
gene-LOC120053090_27			1		0
gene-LOC120053090_28			1		0
gene-LOC120053090_29			1		0
gene-LOC120053090_30			1		0
gene-LOC120053090_31			1		0
gene-LOC120053090_32			1		0
gene-LOC120053090_33			1		0
gene-LOC120053092_1			1		0
gene-LOC120053093_1			1		0
gene-LOC120053099_1			1		0
gene-LOC120053100_7			1		0
gene-LOC120053101_1			1		0
gene-LOC120053101_2			1		0
gene-LOC120053102_1			1		0
gene-LOC120053120_1			1		0
gene-LOC120053338	LOC120053338	C-type natriuretic peptide 4-like	1	Y	5
gene-LOC120053471	LOC120053471	uncharacterized LOC120053471	2	Y	0
gene-LOC120053471_1			1		0
gene-LOC120053475	LOC120053475	uncharacterized LOC120053475	2	Y	0
gene-LOC120053475_1			1		0
gene-LOC120053876	LOC120053876	U3 small nucleolar RNA-associated protein 4 homolog	1	Y	6
gene-LOC120053888_1			1		0
gene-LOC120053918	LOC120053918	ephrin-A2-like	1	Y	5
gene-LOC120054193_1			1		0
gene-LOC120054985_1			1		0
gene-LOC120055018_1			1		0
gene-LOC120055032_1			1		0
gene-LOC120055206_1			1		0
gene-LOC120055374_1			1		0
gene-LOC120055383_1			1		0
gene-LOC120055464_5			1		0
gene-LOC120055680_1			1		0
gene-LOC120055754_1			1		0
gene-LOC120056450	LOC120056450	tryptophan 5-hydroxylase 1-like	1	Y	5
gene-LOC120056459	LOC120056459	potassium voltage-gated channel subfamily C member 1-like	1	Y	8
gene-LOC120056477	LOC120056477	vesicular glutamate transporter 2.1-like	1	Y	9
gene-LOC120056485	LOC120056485	transmembrane protein 178B-like	1	Y	1
gene-LOC120056646	LOC120056646	wiskott-Aldrich syndrome protein family member 3-like	1	Y	7
gene-LOC120056787_10			1		0
gene-LOC120056787_11			1		0
gene-LOC120056787_9			1		0
gene-LOC120056801	LOC120056801	uncharacterized LOC120056801	1	Y	0
gene-LOC120056819_1			1		0
gene-LOC120056841_1			1		0
gene-LOC120056868	LOC120056868	diacylglycerol lipase-alpha-like	1	Y	3
gene-LOC120056877	LOC120056877	homeobox protein aristaless-like 4	1	Y	3
gene-LOC120056951	LOC120056951	protein transport protein Sec24A-like	1	Y	7
gene-LOC120056966	LOC120056966	mitochondrial inner membrane protease subunit 1-like	1	Y	5
gene-LOC120056987_1			1		0
gene-LOC120057066_1			1		0
gene-LOC120057317	LOC120057317	U7 small nuclear RNA	1	Y	0
gene-LOC120057334	LOC120057334	small nucleolar RNA SNORA68	1	Y	0
gene-LOC120057372	LOC120057372	small nucleolar RNA SNORA19	1	Y	0
gene-LOC120057794	LOC120057794	1-acyl-sn-glycerol-3-phosphate acyltransferase gamma-like	1	Y	3
gene-LOC120057978	LOC120057978	tetraspanin-7-like	1	Y	1
gene-LOC120057979	LOC120057979	mid1-interacting protein 1-B-like	1	Y	2
gene-LOC120058290_1			1		0
gene-LOC120058291_1			1		0
gene-LOC120058292_1			1		0
gene-LOC120058480	LOC120058480	zinc finger protein 23-like	1	Y	5
gene-LOC120058484_1			1		0
gene-LOC120058485_1			1		0
gene-LOC120058698_2			1		0
gene-LOC120058698_3			1		0
gene-LOC120058839_2			1		0
gene-LOC120058927_1			1		0
gene-LOC120058961_1			1		0
gene-LOC120059142_1			1		0
gene-LOC120059282_1			1		0
gene-LOC120059541	LOC120059541	G-protein coupled receptor 61-like	1	Y	5
gene-LOC120059635_2			1		0
gene-LOC120059647_2			1		0
gene-LOC120059647_3			1		0
gene-LOC120059647_4			1		0
gene-LOC120059647_5			1		0
gene-LOC120059647_6			1		0
gene-LOC120059647_7			1		0
gene-LOC120059647_8			1		0
gene-LOC120059647_9			1		0
gene-LOC120059772_1			1		0
gene-LOC120059824_1			1		0
gene-LOC120060165_1			1		0
gene-LOC120060543_1			1		0
gene-LOC120060601_2			1		0
gene-LOC120060601_3			1		0
gene-LOC120060841	LOC120060841	brain-specific angiogenesis inhibitor 1-associated protein 2-like	2	Y	7
gene-LOC120060841_1			1		0
gene-LOC120060897_1			1		0
gene-LOC120060929	LOC120060929	LHFPL tetraspan subfamily member 4 protein-like	1	Y	6
gene-LOC120060933	LOC120060933	LHFPL tetraspan subfamily member 4 protein-like	1	Y	6
gene-LOC120061057_1			1		0
gene-LOC120061384_1			1		0
gene-LOC120061633	LOC120061633	sodium- and chloride-dependent GABA transporter 1-like	1	Y	6
gene-LOC120061724_25			1		0
gene-LOC120061724_26			1		0
gene-LOC120061724_27			1		0
gene-LOC120061724_28			1		0
gene-LOC120061724_29			1		0
gene-LOC120061724_30			1		0
gene-LOC120061724_31			1		0
gene-LOC120061724_32			1		0
gene-LOC120061724_33			1		0
gene-LOC120061724_34			1		0
gene-LOC120061724_35			1		0
gene-LOC120061733_13			1		0
gene-LOC120061733_14			1		0
gene-LOC120061733_15			1		0
gene-LOC120061733_16			1		0
gene-LOC120061733_17			1		0
gene-LOC120061733_18			1		0
gene-LOC120061733_19			1		0
gene-LOC120061733_20			1		0
gene-LOC120061735_10			1		0
gene-LOC120061735_11			1		0
gene-LOC120061735_4			1		0
gene-LOC120061735_5			1		0
gene-LOC120061735_6			1		0
gene-LOC120061735_7			1		0
gene-LOC120061735_8			1		0
gene-LOC120061735_9			1		0
gene-LOC120061736	LOC120061736	U1 spliceosomal RNA	3	Y	0
gene-LOC120061736_1			1		0
gene-LOC120061736_2			1		0
gene-LOC120061737_10			1		0
gene-LOC120061737_11			1		0
gene-LOC120061737_12			1		0
gene-LOC120061737_13			1		0
gene-LOC120061737_14			1		0
gene-LOC120061737_15			1		0
gene-LOC120061737_7			1		0
gene-LOC120061737_8			1		0
gene-LOC120061737_9			1		0
gene-LOC120061740_3			1		0
gene-LOC120061740_4			1		0
gene-LOC120061740_5			1		0
gene-LOC120061740_6			1		0
gene-LOC120061740_7			1		0
gene-LOC120061740_8			1		0
gene-LOC120061748_10			1		0
gene-LOC120061748_11			1		0
gene-LOC120061748_12			1		0
gene-LOC120061748_13			1		0
gene-LOC120061748_14			1		0
gene-LOC120061748_15			1		0
gene-LOC120061748_3			1		0
gene-LOC120061748_4			1		0
gene-LOC120061748_5			1		0
gene-LOC120061748_6			1		0
gene-LOC120061748_7			1		0
gene-LOC120061748_8			1		0
gene-LOC120061748_9			1		0
gene-LOC120061753_1			1		0
gene-LOC120061883_1			1		0
gene-LOC120062138	LOC120062138	neuroblast differentiation-associated protein AHNAK-like	1	Y	5
gene-LOC120062522_1			1		0
gene-LOC120062523_1			1		0
gene-LOC120062569	LOC120062569	synaptopodin-like	1	Y	5
gene-LOC120062820	LOC120062820	perforin-1-like	1	Y	0
gene-LOC120063452	LOC120063452	cytosolic phospholipase A2-like	1	Y	0
gene-LOC120063453	LOC120063453	cytosolic phospholipase A2-like	1	Y	0
gene-LOC120063488_18			1		0
gene-LOC120063488_19			1		0
gene-LOC120063488_20			1		0
gene-LOC120063488_21			1		0
gene-LOC120063488_22			1		0
gene-LOC120063488_23			1		0
gene-LOC120063488_24			1		0
gene-LOC120063488_25			1		0
gene-LOC120063720_1			1		0
gene-LOC120063770_30			1		0
gene-LOC120063770_31			1		0
gene-LOC120063770_32			1		0
gene-LOC120063770_33			1		0
gene-LOC120063770_34			1		0
gene-LOC120063770_35			1		0
gene-LOC120063770_36			1		0
gene-LOC120063787	LOC120063787	guanylate-binding protein 1-like	1	Y	2
gene-LOC120063956	LOC120063956	E3 SUMO-protein ligase RanBP2-like	1	Y	6
gene-LOC120064104	LOC120064104	uncharacterized LOC120064104	1	Y	0
gene-LOC120064105	LOC120064105	uncharacterized LOC120064105	1	Y	0
gene-LOC120064285_1			1		0
gene-LOC120064291_1			1		0
gene-LOC120064292_1			1		0
gene-LOC120064653	LOC120064653	ladderlectin-like	1	Y	1
gene-LOC120064667_2			1		0
gene-LOC120064667_3			1		0
gene-LOC120064750_1			1		0
gene-LOC120064863_1			1		0
gene-LOC120064863_2			1		0
gene-LOC120064863_3			1		0
gene-LOC120064863_4			1		0
gene-LOC120064863_5			1		0
gene-LOC120064867_1			1		0
gene-LOC120064886	LOC120064886	protein PELPK1-like	1	Y	0
gene-LOC120064916_1			1		0
gene-LOC120065673	LOC120065673	axin-2-like	1	Y	1
gene-LOC120065725	LOC120065725	E3 ubiquitin/ISG15 ligase TRIM25-like	1	Y	2
gene-LOC120065794	LOC120065794	growth arrest-specific protein 2-like	1	Y	5
gene-LOC120065853	LOC120065853	semaphorin-3E-like	1	Y	9
gene-LOC120065968_1			1		0
gene-LOC120066511	LOC120066511	small VCP/p97-interacting protein-like	1	Y	5
gene-LOC120066519_1			1		0
gene-LOC120066594_47			1		0
gene-LOC120066594_48			1		0
gene-LOC120066594_49			1		0
gene-LOC120066716	LOC120066716	high choriolytic enzyme 2-like	1	Y	3
gene-LOC120066791	LOC120066791	growth arrest-specific protein 2-like	1	Y	5
gene-LOC120066818	LOC120066818	U5 spliceosomal RNA	1	Y	0
gene-LOC120066824	LOC120066824	U5 spliceosomal RNA	1	Y	0
gene-LOC120066834	LOC120066834	U5 spliceosomal RNA	1	Y	0
gene-LOC120066835	LOC120066835	U5 spliceosomal RNA	1	Y	0
gene-LOC120066846	LOC120066846	U5 spliceosomal RNA	1	Y	0
gene-LOC120066849	LOC120066849	U5 spliceosomal RNA	1	Y	0
gene-LOC120066857_1			1		0
gene-LOC120066885	LOC120066885	U2 spliceosomal RNA	1	Y	0
gene-LOC120066886	LOC120066886	U2 spliceosomal RNA	1	Y	0
gene-LOC120066895	LOC120066895	U2 spliceosomal RNA	1	Y	0
gene-LOC120066897	LOC120066897	U2 spliceosomal RNA	1	Y	0
gene-adam15	adam15	ADAM metallopeptidase domain 15	1	Y	6
gene-aida	aida	axin interactor, dorsalization associated	1	Y	3
gene-ano9b	ano9b	anoctamin 9b	1	Y	4
gene-apba2b	apba2b	amyloid beta (A4) precursor protein-binding, family A, member 2b	1	Y	6
gene-arhgap44a	arhgap44a	Rho GTPase activating protein 44a	1	Y	15
gene-atad5a	atad5a	ATPase family AAA domain containing 5a	1	Y	5
gene-azin1b_1			1		0
gene-bglapl_1			1		0
gene-bnc2	bnc2	basonuclin 2	1	Y	2
gene-c3h16orf89	c3h16orf89	chromosome 3 C16orf89 homolog	1	Y	2
gene-c3h17orf75	c3h17orf75	chromosome 3 C17orf75 homolog	1	Y	2
gene-c5h8orf37	c5h8orf37	chromosome 5 C8orf37 homolog	1	Y	1
gene-c6ast1_3			1		0
gene-c6ast1_4			1		0
gene-cbx4	cbx4	chromobox homolog 4 (Pc class homolog, Drosophila)	1	Y	1
gene-cbx8a	cbx8a	chromobox homolog 8a (Pc class homolog, Drosophila)	1	Y	0
gene-ccdc12	ccdc12	coiled-coil domain containing 12	1	Y	2
gene-ccka_1			1		0
gene-cd44a_1			1		0
gene-cd74a_1			1		0
gene-cdh17	cdh17	cadherin 17, LI cadherin (liver-intestine)	1	Y	11
gene-cdkn2a/b_1			1		0
gene-cep112	cep112	centrosomal protein 112	1	Y	0
gene-chrnd_1			1		0
gene-cmbl	cmbl	carboxymethylenebutenolidase homolog (Pseudomonas)	1	Y	1
gene-cntln	cntln	centlein, centrosomal protein	1	Y	4
gene-coq3	coq3	coenzyme Q3 methyltransferase	1	Y	2
gene-creb5b	creb5b	cAMP responsive element binding protein 5b	1	Y	3
gene-crybgx	crybgx	crystallin beta gamma X	1	Y	3
gene-dcst2	dcst2	DC-STAMP domain containing 2	1	Y	1
gene-dpep1	dpep1	dipeptidase 1	1	Y	2
gene-dynlt5_1			1		0
gene-eaf1	eaf1	ELL associated factor 1	1	Y	4
gene-fam214a_1			1		0
gene-fam89a_1			1		0
gene-fam8a1b	fam8a1b	family with sequence similarity 8 member A1b	1	Y	0
gene-fbxo46	fbxo46	F-box protein 46	1	Y	1
gene-fbxo7	fbxo7	F-box protein 7	1	Y	3
gene-fem1b_1			1		0
gene-flr	flr	fleer	1	Y	5
gene-golm2	golm2	golgi membrane protein 2	1	Y	0
gene-herpud2	herpud2	HERPUD family member 2	1	Y	2
gene-kdelr2b_1			1		0
gene-kiaa1549lb	kiaa1549lb	KIAA1549-like b	1	Y	0
gene-lhcgr	lhcgr	luteinizing hormone/choriogonadotropin receptor	1	Y	7
gene-mal2	mal2	mal, T cell differentiation protein 2	1	Y	3
gene-mfng	mfng	MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	1	Y	3
gene-mstnb	mstnb	myostatin b	1	Y	5
gene-ndel1b	ndel1b	nudE neurodevelopment protein 1-like 1b	1	Y	13
gene-nitr7b_1			1		0
gene-paqr9	paqr9	progestin and adipoQ receptor family member 9	1	Y	2
gene-plek2	plek2	pleckstrin 2	1	Y	3
gene-plp1b_1			1		0
gene-plxnb2a.3	plxnb2a.3	plexin b2a, tandem duplicate 3	1	Y	9
gene-pnisr	pnisr	PNN-interacting serine/arginine-rich protein	1	Y	3
gene-polr2h_1			1		0
gene-pou3f2b	pou3f2b	POU class 3 homeobox 2b	1	Y	5
gene-prdm13	prdm13	PR domain containing 13	1	Y	2
gene-psip1a_1			1		0
gene-psmc4	psmc4	proteasome 26S subunit, ATPase 4	1	Y	5
gene-rad54b	rad54b	RAD54 homolog B	1	Y	6
gene-rims1b	rims1b	regulating synaptic membrane exocytosis 1b	1	Y	9
gene-rims2a	rims2a	regulating synaptic membrane exocytosis 2a	1	Y	9
gene-rnaset2l	rnaset2l	ribonuclease T2, like	1	Y	4
gene-rps24_1			1		0
gene-rrh_1			1		0
gene-rxrbb	rxrbb	retinoid x receptor, beta b	1	Y	11
gene-scml2	scml2	Scm polycomb group protein like 2	1	Y	3
gene-scn1ba	scn1ba	sodium channel, voltage-gated, type I, beta a	1	Y	5
gene-si:ch211-158d24.4_1			1		0
gene-si:ch211-197h24.6	si:ch211-197h24.6	uncharacterized si:ch211-197h24.6	1	Y	3
gene-si:dkey-199f5.8	si:dkey-199f5.8	beta-1,4-galactosyltransferase 3	1	Y	2
gene-si:dkey-22i16.7	si:dkey-22i16.7	skin secretory protein xP2	1	Y	0
gene-si:dkey-8e10.3_1			1		0
gene-slc1a2a_1			1		0
gene-slc24a5	slc24a5	solute carrier family 24 member 5	1	Y	6
gene-slc39a13	slc39a13	solute carrier family 39 member 13	1	Y	4
gene-slc8a2b	slc8a2b	solute carrier family 8 member 2b	1	Y	7
gene-snap91a	snap91a	synaptosome associated protein 91a	1	Y	11
gene-sp7	sp7	Sp7 transcription factor	1	Y	3
gene-srl	srl	sarcalumenin	1	Y	1
gene-stk16_1			1		0
gene-syngr3a	syngr3a	synaptogyrin 3a	1	Y	2
gene-tax1bp1b	tax1bp1b	Tax1 (human T-cell leukemia virus type I) binding protein 1b	1	Y	0
gene-tex10	tex10	testis expressed 10	1	Y	2
gene-timm50	timm50	translocase of inner mitochondrial membrane 50 homolog (S. cerevisiae)	1	Y	1
gene-tjp1a	tjp1a	tight junction protein 1a	1	Y	8
gene-tmem121aa	tmem121aa	transmembrane protein 121Aa	1	Y	0
gene-tpra	tpra	translocated promoter region a, nuclear basket protein	1	Y	4
gene-trak1a_1			1		0
gene-trnaa-agc-31	trnaa-agc	tRNA-Ala	1	Y	0
gene-trnaa-agc-31_1			1		0
gene-trnaa-agc-31_10			1		0
gene-trnaa-agc-31_11			1		0
gene-trnaa-agc-31_12			1		0
gene-trnaa-agc-31_13			1		0
gene-trnaa-agc-31_14			1		0
gene-trnaa-agc-31_15			1		0
gene-trnaa-agc-31_16			1		0
gene-trnaa-agc-31_17			1		0
gene-trnaa-agc-31_18			1		0
gene-trnaa-agc-31_19			1		0
gene-trnaa-agc-31_2			1		0
gene-trnaa-agc-31_20			1		0
gene-trnaa-agc-31_21			1		0
gene-trnaa-agc-31_22			1		0
gene-trnaa-agc-31_23			1		0
gene-trnaa-agc-31_24			1		0
gene-trnaa-agc-31_25			1		0
gene-trnaa-agc-31_26			1		0
gene-trnaa-agc-31_27			1		0
gene-trnaa-agc-31_28			1		0
gene-trnaa-agc-31_29			1		0
gene-trnaa-agc-31_3			1		0
gene-trnaa-agc-31_30			1		0
gene-trnaa-agc-31_31			1		0
gene-trnaa-agc-31_32			1		0
gene-trnaa-agc-31_33			1		0
gene-trnaa-agc-31_34			1		0
gene-trnaa-agc-31_35			1		0
gene-trnaa-agc-31_36			1		0
gene-trnaa-agc-31_37			1		0
gene-trnaa-agc-31_38			1		0
gene-trnaa-agc-31_39			1		0
gene-trnaa-agc-31_4			1		0
gene-trnaa-agc-31_40			1		0
gene-trnaa-agc-31_41			1		0
gene-trnaa-agc-31_42			1		0
gene-trnaa-agc-31_43			1		0
gene-trnaa-agc-31_44			1		0
gene-trnaa-agc-31_45			1		0
gene-trnaa-agc-31_46			1		0
gene-trnaa-agc-31_47			1		0
gene-trnaa-agc-31_48			1		0
gene-trnaa-agc-31_49			1		0
