gene_id	symbol	product	biotype	lean_del_n	lean_del_bp	sisco_del_n	sisco_del_bp	lean_ins_n	sisco_ins_n	ecotype_skew_note
gene-LOC120038512	LOC120038512	short/branched chain specific acyl-CoA dehydrogenase, mitochondrial-like	protein_coding	11	1790	9	2169	28	49	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038513	LOC120038513	L-seryl-tRNA(Sec) kinase-like	protein_coding	2	264	2	192	28	14	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038514	LOC120038514	thrombospondin-2-like	protein_coding	0	0	1	136	3	10	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038516	LOC120038516	keratin-associated protein 9-1-like	protein_coding	1	110	2	205	0	3	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038517	LOC120038517	nidogen-2-like	protein_coding	4	720	5	884	0	4	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038518	LOC120038518	leucine-rich repeat extensin-like protein 5	protein_coding	0	0	2	811	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038519	LOC120038519	perforin-1-like	protein_coding	1	63	1	63	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038521	LOC120038521	uncharacterized LOC120038521	protein_coding	2	159	1	289	20	22	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038527	LOC120038527	U2 spliceosomal RNA	snRNA	0	0	1	190	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038528	LOC120038528	U2 spliceosomal RNA	snRNA	0	0	0	0	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038529	LOC120038529	U2 spliceosomal RNA	snRNA	0	0	1	190	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038530	LOC120038530	U2 spliceosomal RNA	snRNA	0	0	1	190	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038531	LOC120038531	U2 spliceosomal RNA	snRNA	0	0	1	190	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038532	LOC120038532	U2 spliceosomal RNA	snRNA	1	37	0	0	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038537	LOC120038537	U2 spliceosomal RNA	snRNA	0	0	0	0	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038548	LOC120038548	U2 spliceosomal RNA	snRNA	0	0	0	0	1	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038551	LOC120038551	mucin-17-like	protein_coding	1	58	0	0	1	2	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038555	LOC120038555	U5 spliceosomal RNA	snRNA	0	0	1	116	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038556	LOC120038556	U5 spliceosomal RNA	snRNA	0	0	1	116	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038558	LOC120038558	U5 spliceosomal RNA	snRNA	0	0	1	116	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038559	LOC120038559	U5 spliceosomal RNA	snRNA	0	0	1	116	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038565	LOC120038565	rho GTPase-activating protein 44-like	protein_coding	10	2582	3	2492	29	22	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038566	LOC120038566	serine/threonine-protein kinase N1-like	protein_coding	1	229	5	2462	8	4	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038567	LOC120038567	vegetative cell wall protein gp1-like	protein_coding	2	244	0	0	1	3	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038568	LOC120038568	attractin-like	protein_coding	12	2190	12	4328	8	24	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038571	LOC120038571	transcription elongation factor A protein 2-like	protein_coding	12	3370	7	1820	4	17	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038572	LOC120038572	ephrin type-A receptor 6-like	protein_coding	11	1122	15	1738	20	23	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038573	LOC120038573	uncharacterized LOC120038573	protein_coding	8	684	6	1646	350	475	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038574	LOC120038574	microfibril-associated glycoprotein 4-like	protein_coding	2	188	7	738	10	26	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038588	LOC120038588	zinc-binding protein A33-like	protein_coding	0	0	0	0	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038589	LOC120038589	sodium- and chloride-dependent GABA transporter 3-like	protein_coding	2	184	1	186	2	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038590	LOC120038590	annexin A5-like	protein_coding	3	200	2	100	7	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038591	LOC120038591	thrombospondin type-1 domain-containing protein 7A-like	protein_coding	3	367	3	209	1	2	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038592	LOC120038592	involucrin-like	protein_coding	2	345	0	0	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038593	LOC120038593	myosin-9-like	protein_coding	1	96	1	215	1	3	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038599	LOC120038599	5S ribosomal RNA	rRNA	0	0	0	0	1	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038610	LOC120038610		pseudogene	0	0	0	0	1	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038612	LOC120038612		pseudogene	0	0	0	0	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038613	LOC120038613		pseudogene	1	146	0	0	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038614	LOC120038614		pseudogene	1	146	0	0	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038618	LOC120038618		pseudogene	1	10	1	146	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038621	LOC120038621		pseudogene	0	0	0	0	0	2	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038629	LOC120038629		pseudogene	0	0	0	0	2	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038635	LOC120038635	5.8S ribosomal RNA	rRNA	0	0	1	153	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038637	LOC120038637	18S ribosomal RNA	rRNA	0	0	1	691	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038639	LOC120038639		pseudogene	1	1212	1	3992	1	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038640	LOC120038640	ladderlectin-like	protein_coding	0	0	0	0	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038643	LOC120038643	uncharacterized LOC120038643	lncRNA	3	485	0	0	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038646	LOC120038646	isthmin-1-like	protein_coding	11	1927	14	2190	18	34	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038650	LOC120038650	prickle-like protein 1	protein_coding	32	11614	51	29598	50	167	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038652	LOC120038652	twinfilin-1-like	protein_coding	6	744	9	1537	4	7	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038653	LOC120038653	zinc finger CCHC-type and RNA-binding motif-containing protein 1-like	protein_coding	0	0	1	926	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038654	LOC120038654	YY1-associated factor 2-like	protein_coding	1	110	4	698	5	14	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038655	LOC120038655	pseudouridylate synthase 7 homolog-like protein	protein_coding	0	0	0	0	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038657	LOC120038657	mitochondrial carnitine/acylcarnitine carrier protein-like	protein_coding	3	2066	2	188	3	5	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038658	LOC120038658	CMRF35-like molecule 5	protein_coding	2	326	1	117	2	8	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038659	LOC120038659	glycine-rich protein DOT1-like	protein_coding	1	270	4	272	7	14	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038660	LOC120038660	5.8S ribosomal RNA	rRNA	1	153	0	0	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038661	LOC120038661	18S ribosomal RNA	rRNA	1	1835	0	0	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038662	LOC120038662		pseudogene	2	2435	1	2543	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038663	LOC120038663	oocyte zinc finger protein XlCOF19-like	protein_coding	1	588	2	336	9	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038664	LOC120038664	zinc finger protein 2 homolog	protein_coding	2	168	0	0	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038665	LOC120038665		pseudogene	5	811	6	1114	14	19	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038667	LOC120038667	probable C->U-editing enzyme APOBEC-2	protein_coding	4	460	1	92	1	3	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038670	LOC120038670	EBP cholestenol delta-isomerase	protein_coding	1	58	1	52	33	88	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038671	LOC120038671	metalloproteinase inhibitor 2-like	protein_coding	0	0	0	0	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038672	LOC120038672	metalloproteinase inhibitor 2-like	protein_coding	0	0	0	0	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038674	LOC120038674	histidine-rich glycoprotein	protein_coding	0	0	2	172	2	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038675	LOC120038675	integrin alpha-V-like	protein_coding	16	3938	15	2565	44	65	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038678	LOC120038678	uncharacterized LOC120038678	lncRNA	0	0	0	0	2	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038679	LOC120038679	nascent polypeptide-associated complex subunit alpha, muscle-specific form-like	protein_coding	7	2164	11	3148	148	147	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038680	LOC120038680	isthmin-1-like	protein_coding	0	0	3	578	1	2	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038681	LOC120038681	cdc42 effector protein 1-like	protein_coding	2	208	0	0	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038682	LOC120038682	uncharacterized LOC120038682	lncRNA	4	253	8	1036	11	17	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038687	LOC120038687	centromere protein Q	protein_coding	8	1083	3	732	42	21	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038690	LOC120038690	C5a anaphylatoxin chemotactic receptor 1	protein_coding	3	368	2	230	19	9	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038691	LOC120038691	ephrin-B2a-like	protein_coding	2	287	3	239	4	13	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038693	LOC120038693	cyclin-dependent kinase 14-like	protein_coding	1	165	1	97	1	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038694	LOC120038694	velvet complex subunit B-like	protein_coding	0	0	4	1543	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038696	LOC120038696	F-box/LRR-repeat protein 16	protein_coding	0	0	1	3468	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038698	LOC120038698	dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial-like	protein_coding	13	2220	12	2460	8	23	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038699	LOC120038699	acetyl-coenzyme A synthetase 2-like, mitochondrial	protein_coding	2	203	10	1529	111	119	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038707	LOC120038707	leucine-rich repeat-containing protein 74A-like	protein_coding	0	0	7	1958	0	2	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038708	LOC120038708	dystrobrevin beta-like	protein_coding	2	280	5	612	39	9	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038709	LOC120038709	dedicator of cytokinesis protein 1-like	protein_coding	11	1139	15	3072	35	94	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038710	LOC120038710	uncharacterized LOC120038710	protein_coding	0	0	0	0	0	2	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038711	LOC120038711	adhesion G protein-coupled receptor L3-like	protein_coding	53	11593	74	21393	131	322	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038714	LOC120038714	ubiquitin-conjugating enzyme E2 K-like	protein_coding	12	2662	9	2468	73	98	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038717	LOC120038717	phospholipid phosphatase 3-like	protein_coding	0	0	0	0	1	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038718	LOC120038718	adhesion G protein-coupled receptor L1-like	protein_coding	11	1094	11	989	15	11	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038719	LOC120038719	RNA polymerase-associated protein RTF1 homolog	protein_coding	4	553	3	422	33	29	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038720	LOC120038720	nucleolar and spindle-associated protein 1-like	protein_coding	1	70	0	0	1	12	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038726	LOC120038726	F-box/LRR-repeat protein 18-like	protein_coding	0	0	5	441	14	27	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038727	LOC120038727	actin, cytoplasmic 1-like	protein_coding	11	6272	7	5098	18	10	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038728	LOC120038728	iroquois-class homeodomain protein IRX-6-like	protein_coding	0	0	0	0	0	2	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038742	LOC120038742	28S ribosomal RNA	rRNA	0	0	1	1626	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038743	LOC120038743	protein tyrosine phosphatase domain-containing protein 1-like	protein_coding	3	196	4	1885	8	25	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038744	LOC120038744	myosin heavy chain, fast skeletal muscle-like	protein_coding	1	304	0	0	8	4	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038745	LOC120038745	proline-rich extensin-like protein EPR1	protein_coding	1	109	4	287	10	9	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038746	LOC120038746	DNA repair protein complementing XP-G cells-like	protein_coding	4	496	0	0	1	7	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038747	LOC120038747	golgin-45-like	protein_coding	0	0	7	1661	6	33	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038749	LOC120038749	transcription activator BRG1	protein_coding	1	530	1	282	4	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038752	LOC120038752	uncharacterized LOC120038752	lncRNA	0	0	1	259	1	8	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038753	LOC120038753	plastin-1-like	protein_coding	1	466	1	112	0	2	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038770	LOC120038770	variant surface antigen E-like	protein_coding	9	1351	9	1858	15	14	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038771	LOC120038771	neuronal acetylcholine receptor subunit beta-2-like	protein_coding	1	150	0	0	4	2	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038773	LOC120038773	butyrophilin subfamily 1 member A1-like	protein_coding	1	222	3	1100	8	5	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038774	LOC120038774	uncharacterized LOC120038774	lncRNA	2	1653	5	1290	1	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038775	LOC120038775	epsin-2-like	protein_coding	1	161	0	0	1	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038776	LOC120038776	signal-induced proliferation-associated 1-like protein 2	protein_coding	23	3392	14	2407	33	80	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038777	LOC120038777	signal-induced proliferation-associated 1-like protein 2	protein_coding	0	0	0	0	3	2	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038778	LOC120038778	nucleoporin NUP100/NSP100-like	protein_coding	5	1933	13	2880	12	25	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038779	LOC120038779	sister chromatid cohesion protein PDS5 homolog A-like	protein_coding	16	3316	18	2581	62	50	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038780	LOC120038780	NEDD4-binding protein 2-like	protein_coding	0	0	0	0	13	20	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038782	LOC120038782	5S ribosomal RNA	rRNA	1	118	0	0	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038783	LOC120038783	5S ribosomal RNA	rRNA	0	0	0	0	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038784	LOC120038784	5S ribosomal RNA	rRNA	1	118	1	21	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038785	LOC120038785	5S ribosomal RNA	rRNA	1	118	1	118	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038787	LOC120038787	5S ribosomal RNA	rRNA	1	120	0	0	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038788	LOC120038788	5S ribosomal RNA	rRNA	1	120	1	120	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038789	LOC120038789		pseudogene	1	122	1	122	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038790	LOC120038790		pseudogene	1	122	1	122	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038792	LOC120038792	5S ribosomal RNA	rRNA	0	0	1	118	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038793	LOC120038793	U1 spliceosomal RNA	snRNA	1	163	1	110	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038794	LOC120038794	U1 spliceosomal RNA	snRNA	1	163	1	163	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038795	LOC120038795	U1 spliceosomal RNA	snRNA	1	163	1	163	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038796	LOC120038796	U1 spliceosomal RNA	snRNA	1	163	0	0	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038797	LOC120038797		pseudogene	1	152	1	152	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038801	LOC120038801		pseudogene	0	0	1	146	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038805	LOC120038805		pseudogene	0	0	0	0	1	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038806	LOC120038806		pseudogene	0	0	0	0	1	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038808	LOC120038808		pseudogene	1	151	1	151	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038810	LOC120038810	5S ribosomal RNA	rRNA	1	118	0	0	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038815	LOC120038815	5S ribosomal RNA	rRNA	0	0	0	0	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038817	LOC120038817	5S ribosomal RNA	rRNA	0	0	0	0	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038818	LOC120038818	5S ribosomal RNA	rRNA	0	0	0	0	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038819	LOC120038819	5S ribosomal RNA	rRNA	0	0	0	0	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038820	LOC120038820	5S ribosomal RNA	rRNA	0	0	0	0	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038824	LOC120038824	U1 spliceosomal RNA	snRNA	0	0	0	0	1	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038826	LOC120038826	phosphatidate cytidylyltransferase 2-like	protein_coding	0	0	0	0	1	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038828	LOC120038828		pseudogene	0	0	0	0	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038829	LOC120038829		pseudogene	0	0	1	36	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038832	LOC120038832	U1 spliceosomal RNA	snRNA	0	0	1	55	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038843	LOC120038843	uncharacterized LOC120038843	lncRNA	0	0	1	451	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038844	LOC120038844	zinc finger protein 436-like	protein_coding	1	96	2	463	4	6	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038845	LOC120038845	uncharacterized LOC120038845	lncRNA	1	68	0	0	5	6	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038846	LOC120038846	golgin subfamily A member 6-like protein 22	protein_coding	1	378	0	0	5	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038847	LOC120038847	sorting nexin-17	protein_coding	11	1971	15	2465	68	144	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038848	LOC120038848	all-trans retinoic acid-induced differentiation factor-like	protein_coding	1	287	0	0	2	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038849	LOC120038849	zinc finger protein 513-like	protein_coding	11	1567	14	2665	6	11	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038850	LOC120038850	translation initiation factor eIF-2B subunit delta-like	protein_coding	7	2531	1	262	8	13	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038851	LOC120038851	extensin-1-like	protein_coding	1	126	0	0	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038852	LOC120038852	anoctamin-1-like	protein_coding	19	5226	20	4982	88	15	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038854	LOC120038854	centrosomal protein of 192 kDa-like	protein_coding	10	1357	10	1577	13	39	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038855	LOC120038855	uncharacterized LOC120038855	protein_coding	1	59	8	3170	2	6	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038860	LOC120038860	18S ribosomal RNA	rRNA	1	243	0	0	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038862	LOC120038862	potassium voltage-gated channel subfamily H member 3-like	protein_coding	0	0	1	95	3	6	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038863	LOC120038863	myosin heavy chain, fast skeletal muscle-like	protein_coding	0	0	0	0	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038864	LOC120038864	myosin heavy chain, fast skeletal muscle-like	protein_coding	4	281	2	175	14	2	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038865	LOC120038865	sphingomyelin synthase-related protein 1-like	protein_coding	11	2048	1	61	17	10	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038868	LOC120038868	kelch domain-containing protein 3-like	protein_coding	5	357	3	282	49	8	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038869	LOC120038869	vertnin-like	protein_coding	0	0	0	0	1	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038871	LOC120038871	zinc finger protein 436-like	protein_coding	0	0	0	0	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038872	LOC120038872	gap junction alpha-4 protein-like	protein_coding	4	2160	6	1973	39	47	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038873	LOC120038873	DNA-directed RNA polymerase III subunit RPC4-like	protein_coding	8	1190	3	894	44	3	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038874	LOC120038874		pseudogene	36	12675	32	15685	9	12	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038877	LOC120038877	insulin-like growth factor 2 mRNA-binding protein 2	protein_coding	0	0	0	0	3	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038878	LOC120038878	uncharacterized LOC120038878	protein_coding	1	98	0	0	8	5	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038879	LOC120038879	uncharacterized LOC120038879	lncRNA	1	147	1	126	8	9	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038880	LOC120038880	uncharacterized LOC120038880	lncRNA	1	58	1	70	3	5	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038881	LOC120038881	protein CASP-like	protein_coding	1	50	4	321	1	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038883	LOC120038883	18S ribosomal RNA	rRNA	0	0	1	50	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038884	LOC120038884		pseudogene	0	0	0	0	0	2	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038928	LOC120038928		pseudogene	0	0	0	0	1	2	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038930	LOC120038930		pseudogene	8	6081	6	7636	2	61	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038931	LOC120038931	glutamate receptor 3-like	protein_coding	16	4920	7	4182	74	134	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038932	LOC120038932	guanylate cyclase soluble subunit alpha-2-like	protein_coding	0	0	5	412	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038935	LOC120038935	zinc transporter ZIP9-like	protein_coding	1	69	2	268	3	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038936	LOC120038936		pseudogene	8	1669	4	396	6	3	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038937	LOC120038937	tetra-peptide repeat homeobox protein 1-like	protein_coding	0	0	1	60	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038938	LOC120038938	XK-related protein 6-like	protein_coding	0	0	2	103	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038939	LOC120038939	pantothenate kinase 3-like	protein_coding	6	1219	11	2808	3	7	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038940	LOC120038940	lysyl oxidase homolog 3B-like	protein_coding	0	0	2	239	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120038941	LOC120038941	calphotin-like	protein_coding	3	500	5	1414	1	24	lean-reference: siscowet-specific & deletion counts inflated by divergence
